country,level 1 name,area,area id,analysis name,date of analysis,country population,#,% of total county pop,area phase,analysis period,phase 1#,phase 1%,phase 2#,phase 2%,phase 3#,phase 3%,phase 4#,phase 4%,phase 5#,phase 5%,phase 3+#,phase 3+%,# of population analyzed,% of population analyzed,projected area phase,projection period,projected phase 1#,projected phase 1%,projected phase 2#,projected phase 2%,projected phase 3#,projected phase 3%,projected phase 4#,projected phase 4%,projected phase 5#,projected phase 5%,projected phase 3+#,projected phase 3+%
Malawi,,,,,2020-12-01,19718415.0,17677952.0,0.8965199281990971,,Nov 2020 - Dec 2020,8945225.0,0.51,6183030.0,0.35,2549703.0,0.14,0.0,0.0,0.0,0.0,2549703.0,0.14,17677952.0,0.8965199281990971,,Jan 2021 - Mar 2021,8768789.0,0.5,6266629.0,0.35,2509092.0,0.14,133448.0,0.01,0.0,0.0,2642538.0,0.15
Malawi,,,,,2020-08-01,19130000.0,17678952.0,0.9241480397281756,,Jul 2020 - Sep 2020,10457213.0,0.59,5524858.0,0.31,1696881.0,0.1,0.0,0.0,0.0,0.0,1696881.0,0.1,17677952.0,0.9240957658128593,,Oct 2020 - Mar 2021,8840895.0,0.5,6219071.0,0.35,2617986.0,0.15,0.0,0.0,0.0,0.0,2617986.0,0.15
Malawi,,,,,2019-11-01,18771580.0,,,,,,,,,,,,,,,,,14734053.0,0.7849127777203624,,Nov 2019 - Mar 2020,8539890.0,0.58,4314757.0,0.29,1862755.0,0.13,16650.0,0.0,0.0,0.0,1879406.0,0.13
Malawi,,,,,2019-06-01,18771580.0,14734053.0,0.7849127777203624,,Jul 2019 - Sep 2019,11145387.0,0.75,2915499.0,0.2,673167.0,0.05,0.0,0.0,0.0,0.0,673167.0,0.05,14734053.0,0.7849127777203624,,Oct 2019 - Mar 2020,10086397.0,0.68,3584981.0,0.24,1062674.0,0.07,0.0,0.0,0.0,0.0,1062674.0,0.07
Malawi,,,,,2018-08-01,18771580.0,15329133.0,0.8166138918514052,,Jul 2018 - Sep 2018,8610476.0,0.56,4470524.0,0.29,1799214.0,0.12,404148.0,0.03,0.0,0.0,2203362.0,0.15,15329133.0,0.8166138918514052,,Oct 2018 - Mar 2019,6914281.0,0.45,5030024.0,0.33,2857238.0,0.19,449153.0,0.03,0.0,0.0,3306392.0,0.22
Malawi,,,,,2017-07-01,18771580.0,14110120.0,0.7516746059734982,,Jul 2017 - Sep 2017,11635000.0,0.82,2009000.0,0.14,421000.0,0.03,0.0,0.0,0.0,0.0,421000.0,0.03,14110120.0,0.7516746059734982,,Oct 2017 - Mar 2018,9936000.0,0.7,3112000.0,0.22,1043000.0,0.07,0.0,0.0,0.0,0.0,1043000.0,0.07
Mozambique,,,,,2021-11-01,30832244.0,14519709.0,0.47092611877358004,,Nov 2021 - Mar 2022,6516368.0,0.45,6145701.0,0.42,1818432.0,0.13,39208.0,0.0,0.0,0.0,1857640.0,0.13,14519709.0,0.47092611877358004,,Apr 2022 - Sep 2022,7128616.0,0.49,5947710.0,0.41,1419830.0,0.1,23553.0,0.0,0.0,0.0,1443383.0,0.1
Mozambique,,,,,2021-04-01,30832244.0,531598.0,0.01724162535818022,,Oct 2020 - Mar 2021,151915.0,0.29,189739.0,0.36,132717.0,0.25,56247.0,0.11,0.0,0.0,188964.0,0.36,777398.0,0.025213798904808876,,Apr 2021 - Sep 2021,270308.0,0.35,278827.0,0.36,193023.0,0.25,35241.0,0.05,0.0,0.0,228264.0,0.3
Mozambique,,,,,2020-10-01,30066648.0,18143069.0,0.6034283901550981,,Oct 2020 - Dec 2020,6695577.0,0.37,8772570.0,0.48,2368993.0,0.13,305929.0,0.02,0.0,0.0,2674922.0,0.15,18143069.0,0.6034283901550981,,Jan 2021 - Mar 2021,6822023.0,0.38,8406989.0,0.46,2649367.0,0.15,264689.0,0.01,0.0,0.0,2914056.0,0.16
Mozambique,,,,,2020-06-01,30066648.0,2429263.0,0.08079593707951747,,Jun 2020 - Sep 2020,1336095.0,0.55,728779.0,0.3,364389.0,0.15,0.0,0.0,0.0,0.0,364389.0,0.15,,,,,,,,,,,,,,,,
