country,level 1 name,area,area id,analysis name,date of analysis,country population,#,% of total county pop,area phase,analysis period,phase 1#,phase 1%,phase 2#,phase 2%,phase 3#,phase 3%,phase 4#,phase 4%,phase 5#,phase 5%,phase 3+#,phase 3+%,# of population analyzed,% of population analyzed,projected area phase,projection period,projected phase 1#,projected phase 1%,projected phase 2#,projected phase 2%,projected phase 3#,projected phase 3%,projected phase 4#,projected phase 4%,projected phase 5#,projected phase 5%,projected phase 3+#,projected phase 3+%
South Sudan,Jonglei,Duk,14113345.0,Acute Food Insecurity January 2020,Jan 2020,,189958.0,,4.0,Jan 2020 - Jan 2020,18996.0,0.1,37992.0,0.2,75983.0,0.4,47490.0,0.25,9498.0,0.05,132971.0,0.7,189958.0,,4.0,Feb 2020 - Apr 2020,18996.0,0.1,28494.0,0.15,75983.0,0.4,56987.0,0.3,9498.0,0.05,142468.0,0.75
South Sudan,Jonglei,Fangak,14113400.0,Acute Food Insecurity January 2020,Jan 2020,,193053.0,,4.0,Jan 2020 - Jan 2020,28958.0,0.15,38611.0,0.2,86874.0,0.45,38611.0,0.2,0.0,0.0,125485.0,0.65,193053.0,,4.0,Feb 2020 - Apr 2020,19305.0,0.1,38611.0,0.2,86874.0,0.45,48263.0,0.25,0.0,0.0,135137.0,0.7
South Sudan,Jonglei,Nyirol,14113376.0,Acute Food Insecurity January 2020,Jan 2020,,132312.0,,4.0,Jan 2020 - Jan 2020,6616.0,0.05,26462.0,0.2,66156.0,0.5,33078.0,0.25,0.0,0.0,99234.0,0.75,132312.0,,4.0,Feb 2020 - Apr 2020,6616.0,0.05,19847.0,0.15,66156.0,0.5,39694.0,0.3,0.0,0.0,105850.0,0.8
South Sudan,Jonglei,Pibor,14113359.0,Acute Food Insecurity January 2020,Jan 2020,,204879.0,,4.0,Jan 2020 - Jan 2020,20488.0,0.1,40976.0,0.2,102440.0,0.5,40976.0,0.2,0.0,0.0,143416.0,0.7,204879.0,,4.0,Feb 2020 - Apr 2020,10244.0,0.05,51220.0,0.25,92196.0,0.45,51220.0,0.25,0.0,0.0,143416.0,0.7
South Sudan,Jonglei,Pochalla,14113325.0,Acute Food Insecurity January 2020,Jan 2020,,75210.0,,3.0,Jan 2020 - Jan 2020,15042.0,0.2,30084.0,0.4,30084.0,0.4,0.0,0.0,0.0,0.0,30084.0,0.4,75210.0,,3.0,Feb 2020 - Apr 2020,15042.0,0.2,26324.0,0.35,33845.0,0.45,0.0,0.0,0.0,0.0,33845.0,0.45
South Sudan,Jonglei,Twic east,14113396.0,Acute Food Insecurity January 2020,Jan 2020,,118957.0,,3.0,Jan 2020 - Jan 2020,17844.0,0.15,29739.0,0.25,53531.0,0.45,17844.0,0.15,0.0,0.0,71375.0,0.6,118957.0,,4.0,Feb 2020 - Apr 2020,11896.0,0.1,29739.0,0.25,53531.0,0.45,23791.0,0.2,0.0,0.0,77322.0,0.65
South Sudan,Jonglei,Uror,14113444.0,Acute Food Insecurity January 2020,Jan 2020,,182012.0,,4.0,Jan 2020 - Jan 2020,18201.0,0.1,45503.0,0.25,81905.0,0.45,36402.0,0.2,0.0,0.0,118307.0,0.65,182012.0,,4.0,Feb 2020 - Apr 2020,9101.0,0.05,45503.0,0.25,91006.0,0.5,36402.0,0.2,0.0,0.0,127408.0,0.7
Lakes,,,,,Jan 2020,,1137753.0,,,Jan 2020 - Jan 2020,165000.0,0.14502268945896,380000.0,0.333991648450938,475000.0,0.417489560563672,115000.0,0.101076419925942,0.0,0.0,590000.0,0.51856598048961,1137753.0,,,Feb 2020 - Apr 2020,140000.0,0.123049554692451,340000.0,0.298834632824523,495000.0,0.43506806837688,160000.0,0.140628062505658,0.0,0.0,655000.0,0.57569613088254
South Sudan,Lakes,Awerial,14113370.0,Acute Food Insecurity January 2020,Jan 2020,,132875.0,,3.0,Jan 2020 - Jan 2020,19931.0,0.15,39863.0,0.3,59794.0,0.45,13288.0,0.1,0.0,0.0,73082.0,0.55,132875.0,,3.0,Feb 2020 - Apr 2020,13288.0,0.1,39863.0,0.3,59794.0,0.45,19931.0,0.15,0.0,0.0,79725.0,0.6
South Sudan,Lakes,Cueibet,14113314.0,Acute Food Insecurity January 2020,Jan 2020,,173715.0,,3.0,Jan 2020 - Jan 2020,8686.0,0.05,60800.0,0.35,86858.0,0.5,17372.0,0.1,0.0,0.0,104230.0,0.6,173715.0,,3.0,Feb 2020 - Apr 2020,8686.0,0.05,43429.0,0.25,95543.0,0.55,26057.0,0.15,0.0,0.0,121600.0,0.7
South Sudan,Lakes,Rumbek centre,14113440.0,Acute Food Insecurity January 2020,Jan 2020,,203118.0,,3.0,Jan 2020 - Jan 2020,30468.0,0.15,71091.0,0.35,81247.0,0.4,20312.0,0.1,0.0,0.0,101559.0,0.5,203118.0,,3.0,Feb 2020 - Apr 2020,30468.0,0.15,60935.0,0.3,91403.0,0.45,20312.0,0.1,0.0,0.0,111715.0,0.55
South Sudan,Lakes,Rumbek east,14113332.0,Acute Food Insecurity January 2020,Jan 2020,,167548.0,,3.0,Jan 2020 - Jan 2020,25132.0,0.15,41887.0,0.25,75397.0,0.45,25132.0,0.15,0.0,0.0,100529.0,0.6,167548.0,,3.0,Feb 2020 - Apr 2020,16755.0,0.1,41887.0,0.25,83774.0,0.5,25132.0,0.15,0.0,0.0,108906.0,0.65
South Sudan,Lakes,Rumbek north,14113438.0,Acute Food Insecurity January 2020,Jan 2020,,70174.0,,4.0,Jan 2020 - Jan 2020,7017.0,0.1,14035.0,0.2,31578.0,0.45,17544.0,0.25,0.0,0.0,49122.0,0.7,70174.0,,4.0,Feb 2020 - Apr 2020,3509.0,0.05,14035.0,0.2,31578.0,0.45,21052.0,0.3,0.0,0.0,52630.0,0.75
