area,date,3_plus,3_plus_proj,lat,long
Hiraan,2022-05-01,33%,47%,4.214724371063452,45.472977431408
Hiraan,2022-01-01,15%,26%,4.214724371063452,45.472977431408
Middle Juba,2022-05-01,41%,53%,1.2278588997191389,42.538564944723205
Middle Juba,2022-01-01,21%,34%,1.2278588997191389,42.538564944723205
Lower Juba,2022-05-01,23%,33%,0.0888773998357538,41.8021686205059
Lower Juba,2022-01-01,23%,36%,0.0888773998357538,41.8021686205059
Mudug,2022-05-01,41%,52%,6.376030897166005,48.1544498345412
Mudug,2022-01-01,22%,35%,6.376030897166005,48.1544498345412
Nugaal,2022-05-01,31%,39%,8.108444337381584,48.91371123187246
Nugaal,2022-01-01,20%,35%,8.108444337381584,48.91371123187246
Sanaag,2022-05-01,43%,58%,10.304454152601634,47.682934016211576
Sanaag,2022-01-01,24%,37%,10.304454152601634,47.682934016211576
Middle Shabelle,2022-05-01,39%,54%,3.0273995832416523,46.014202407952105
Middle Shabelle,2022-01-01,10%,21%,3.0273995832416523,46.014202407952105
Lower Shabelle,2022-05-01,39%,46%,1.903131591138137,44.32753213803674
Lower Shabelle,2022-01-01,8%,14%,1.903131591138137,44.32753213803674
Sool,2022-05-01,42%,52%,8.96310793976819,47.56518455925344
Sool,2022-01-01,21%,36%,8.96310793976819,47.56518455925344
Togdheer,2022-05-01,31%,40%,9.108489950453642,45.7262841403685
Togdheer,2022-01-01,14%,23%,9.108489950453642,45.7262841403685
Woqooyi Galbeed,2022-05-01,28%,38%,9.877530578072625,44.55536496855601
Woqooyi Galbeed,2022-01-01,8%,20%,9.877530578072625,44.55536496855601
